data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-07T02:55:39.376181+00:00,LaLiga,Espanyol x Villarreal CF,Espanyol,Villarreal CF,2025-11-08T20:00:00Z,1X2,2,,2.37,https://www.betano.bet.br/odds/espanyol-villarreal-cf/71869791/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:43.634574+00:00,LaLiga,Espanyol x Villarreal CF,Espanyol,Villarreal CF,2025-11-08T20:00:00Z,Total de Gols,Over,2.5,1.78,https://www.betano.bet.br/odds/espanyol-villarreal-cf/71869791/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:43.634597+00:00,LaLiga,Espanyol x Villarreal CF,Espanyol,Villarreal CF,2025-11-08T20:00:00Z,Total de Gols,Under,2.5,2.05,https://www.betano.bet.br/odds/espanyol-villarreal-cf/71869791/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:48.388167+00:00,LaLiga,Girona FC x Deportivo Alavés,Girona FC,Deportivo Alavés,2025-11-08T13:00:00Z,1X2,1,,2.45,https://www.betano.bet.br/odds/girona-fc-deportivo-alaves/71869824/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:48.388190+00:00,LaLiga,Girona FC x Deportivo Alavés,Girona FC,Deportivo Alavés,2025-11-08T13:00:00Z,1X2,X,,3.1,https://www.betano.bet.br/odds/girona-fc-deportivo-alaves/71869824/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:48.388199+00:00,LaLiga,Girona FC x Deportivo Alavés,Girona FC,Deportivo Alavés,2025-11-08T13:00:00Z,1X2,2,,3.15,https://www.betano.bet.br/odds/girona-fc-deportivo-alaves/71869824/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:52.657798+00:00,LaLiga,Girona FC x Deportivo Alavés,Girona FC,Deportivo Alavés,2025-11-08T13:00:00Z,Total de Gols,Over,2.5,2.32,https://www.betano.bet.br/odds/girona-fc-deportivo-alaves/71869824/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:52.657847+00:00,LaLiga,Girona FC x Deportivo Alavés,Girona FC,Deportivo Alavés,2025-11-08T13:00:00Z,Total de Gols,Under,2.5,1.62,https://www.betano.bet.br/odds/girona-fc-deportivo-alaves/71869824/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:57.551136+00:00,LaLiga,Sevilha FC x Osasuna,Sevilha FC,Osasuna,2025-11-08T15:15:00Z,1X2,1,,2.18,https://www.betano.bet.br/odds/sevilha-fc-osasuna/71869779/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:57.551157+00:00,LaLiga,Sevilha FC x Osasuna,Sevilha FC,Osasuna,2025-11-08T15:15:00Z,1X2,X,,3.3,https://www.betano.bet.br/odds/sevilha-fc-osasuna/71869779/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:57.551165+00:00,LaLiga,Sevilha FC x Osasuna,Sevilha FC,Osasuna,2025-11-08T15:15:00Z,1X2,2,,3.5,https://www.betano.bet.br/odds/sevilha-fc-osasuna/71869779/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
