player_name,club_name,json_club,league_name
Joan García,RCD Espanyol,Espanyol,La Liga
Fernando Pacheco,RCD Espanyol,Espanyol,La Liga
Ángel Fortuño,RCD Espanyol,Espanyol,La Liga
Pol Tristán,RCD Espanyol,Espanyol,La Liga
Llorenç Serred,RCD Espanyol,Espanyol,La Liga
Marash Kumbulla,RCD Espanyol,Espanyol,La Liga
Fernando Calero,RCD Espanyol,Espanyol,La Liga
Leandro Cabrera,RCD Espanyol,Espanyol,La Liga
Sergi Gómez,RCD Espanyol,Espanyol,La Liga
José Luis Català,RCD Espanyol,Espanyol,La Liga
Pablo Ramón,RCD Espanyol,Espanyol,La Liga
Roger Hinojo,RCD Espanyol,Espanyol,La Liga
Carlos Romero,RCD Espanyol,Espanyol,La Liga
Brian Oliván,RCD Espanyol,Espanyol,La Liga
Omar El Hilali,RCD Espanyol,Espanyol,La Liga
Álvaro Tejero,RCD Espanyol,Espanyol,La Liga
José Ángel López,RCD Espanyol,Espanyol,La Liga
Urko González de Zárate,RCD Espanyol,Espanyol,La Liga
Alex Král,RCD Espanyol,Espanyol,La Liga
Pol Lozano,RCD Espanyol,Espanyol,La Liga
Edu Expósito,RCD Espanyol,Espanyol,La Liga
José Gragera,RCD Espanyol,Espanyol,La Liga
Álvaro Aguado,RCD Espanyol,Espanyol,La Liga
Justin Smith,RCD Espanyol,Espanyol,La Liga
Rafel Bauzà,RCD Espanyol,Espanyol,La Liga
Javi Puado,RCD Espanyol,Espanyol,La Liga
Naci Ünüvar,RCD Espanyol,Espanyol,La Liga
Pere Milla,RCD Espanyol,Espanyol,La Liga
Alex Almansa,RCD Espanyol,Espanyol,La Liga
Jofre Carreras,RCD Espanyol,Espanyol,La Liga
Antoniu Roca,RCD Espanyol,Espanyol,La Liga
Salvi Sánchez,RCD Espanyol,Espanyol,La Liga
Roberto Fernández,RCD Espanyol,Espanyol,La Liga
Irvin Cardona,RCD Espanyol,Espanyol,La Liga
Alejo Veliz,RCD Espanyol,Espanyol,La Liga
Walid Cheddira,RCD Espanyol,Espanyol,La Liga
Omar Sadik,RCD Espanyol,Espanyol,La Liga
Sergio Herrera,CA Osasuna,Osasuna,La Liga
Aitor Fernández,CA Osasuna,Osasuna,La Liga
Pablo Valencia,CA Osasuna,Osasuna,La Liga
Dimitrios Stamatakis,CA Osasuna,Osasuna,La Liga
Rafa Fernández,CA Osasuna,Osasuna,La Liga
Enzo Boyomo,CA Osasuna,Osasuna,La Liga
Jorge Herrando,CA Osasuna,Osasuna,La Liga
Alejandro Catena,CA Osasuna,Osasuna,La Liga
Unai García,CA Osasuna,Osasuna,La Liga
Ismael Sierra,CA Osasuna,Osasuna,La Liga
Abel Bretones,CA Osasuna,Osasuna,La Liga
Juan Cruz,CA Osasuna,Osasuna,La Liga
Jesús Areso,CA Osasuna,Osasuna,La Liga
Nacho Vidal,CA Osasuna,Osasuna,La Liga
Rubén Peña,CA Osasuna,Osasuna,La Liga
Iñigo Arguibide,CA Osasuna,Osasuna,La Liga
Lucas Torró,CA Osasuna,Osasuna,La Liga
Iker Muñoz,CA Osasuna,Osasuna,La Liga
Jon Moncayola,CA Osasuna,Osasuna,La Liga
Pablo Ibáñez,CA Osasuna,Osasuna,La Liga
Asier Osambela,CA Osasuna,Osasuna,La Liga
Aimar Oroz,CA Osasuna,Osasuna,La Liga
