Matchday,Day,Date,Home,Away,FullTime,HalfTime
10,Thu,2016-10-27,US Palermo,Udinese,1-3,1-1
11,Sat,2016-10-29,Bologna FC,Fiorentina,0-1,0-1
11,Sat,2016-10-29,Juventus FC,Napoli,2-1,0-0
11,Sun,2016-10-30,Atalanta,Genoa CFC,3-0,2-0
11,Sun,2016-10-30,FC Crotone,Chievo Verona,2-0,1-0
11,Sun,2016-10-30,Empoli FC,Roma,0-0,
11,Sun,2016-10-30,Lazio,Sassuolo,2-1,0-0
11,Sun,2016-10-30,AC Milan,Delfino Pescara,1-0,0-0
11,Sun,2016-10-30,Sampdoria,Inter de Milão,1-0,1-0
11,Mon,2016-10-31,Udinese,Torino,2-2,0-1
11,Mon,2016-10-31,Cagliari,US Palermo,2-1,0-0
12,Sat,2016-11-05,Torino,Cagliari,5-1,3-1
12,Sat,2016-11-05,Napoli,Lazio,1-1,0-0
12,Sun,2016-11-06,Delfino Pescara,Empoli FC,0-4,0-3
12,Sun,2016-11-06,Chievo Verona,Juventus FC,1-2,0-0
12,Sun,2016-11-06,Genoa CFC,Udinese,1-1,1-1
12,Sun,2016-11-06,US Palermo,AC Milan,1-2,0-1
12,Sun,2016-11-06,Sassuolo,Atalanta,0-3,0-3
12,Sun,2016-11-06,Fiorentina,Sampdoria,1-1,1-0
12,Sun,2016-11-06,Inter de Milão,FC Crotone,3-0,0-0
12,Sun,2016-11-06,Roma,Bologna FC,3-0,1-0
13,Sat,2016-11-19,Chievo Verona,Cagliari,1-0,0-0
13,Sat,2016-11-19,Udinese,Napoli,1-2,0-0
13,Sat,2016-11-19,Juventus FC,Delfino Pescara,3-0,1-0
13,Sun,2016-11-20,Sampdoria,Sassuolo,3-2,0-0
13,Sun,2016-11-20,Atalanta,Roma,2-1,0-1
13,Sun,2016-11-20,Bologna FC,US Palermo,3-1,1-1
13,Sun,2016-11-20,FC Crotone,Torino,0-2,0-0
13,Sun,2016-11-20,Empoli FC,Fiorentina,0-4,0-1
13,Sun,2016-11-20,Lazio,Genoa CFC,3-1,1-0
13,Sun,2016-11-20,AC Milan,Inter de Milão,2-2,1-0
14,Sat,2016-11-26,Torino,Chievo Verona,2-1,2-0
